SNILS,INDIVIDUAL_ACCOUNT_GID,REG_DATE,CODE,PERIOD_BEGIN,PERIOD_END,РЕГ_НОМЕР,P_DAY1,NAME
70985583,464909085,2000-06-08,СЗВ-6-1,2010-04-16,2010-04-16,62040000131,1,-
70985583,464909085,2000-06-08,СЗВ-6-2,2011-10-01,2011-12-31,62040000131,90,-
70985583,464909085,2000-06-08,СЗВ-6-1,2010-05-04,2010-05-11,62040000131,8,-
70985583,464909085,2000-06-08,РСВ1-2014,2014-09-19,2014-09-19,62040063411,1,-
70985583,464909085,2000-06-08,РСВ1-2015,2016-03-20,2016-03-31,62015001466,11,-
70985583,464909085,2000-06-08,СЗВ-6-4,2013-04-22,2013-04-30,62040063411,9,-
70985583,464909085,2000-06-08,СЗВ-4-2,2002-06-05,2002-08-08,62056000053,64,-
70985583,464909085,2000-06-08,РСВ1-2014,2014-09-19,2014-09-19,62040063411,1,Отпуск без сохранения зарплаты                              
70985583,464909085,2000-06-08,РСВ1-2014,2014-09-26,2014-09-26,62040063411,1,-
70985583,464909085,2000-06-08,СЗВ-6-1,2010-05-12,2010-06-10,62040000131,29,-
70985583,464909085,2000-06-08,СЗВ-6-1,2010-06-26,2010-06-30,62040000131,5,-
70985583,464909085,2000-06-08,СЗВ-СТАЖ,2017-07-14,2017-08-24,62015002333,41,Отпуск для особых категорий застрахованных лиц              
70985583,464909085,2000-06-08,СЗВ-6-2,2010-07-01,2010-12-31,62040000131,180,-
70985583,464909085,2000-06-08,СЗВ-6-1,2011-01-07,2011-01-21,62040000131,15,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-06-22,2015-06-22,62040000131,1,-
70985583,464909085,2000-06-08,СЗВ-6-1,2010-04-09,2010-04-09,62040000131,1,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-02-06,2015-02-06,62040000131,1,-
70985583,464909085,2000-06-08,СЗВ-6-1,2010-05-01,2010-05-03,62040000131,3,-
70985583,464909085,2000-06-08,СЗВ-СТАЖ,2017-01-01,2017-08-31,62015001466,240,Педагогическая деятельность по закону №319-ФЗ               
70985583,464909085,2000-06-08,РСВ1-2015,2015-06-22,2015-06-22,62040000131,1,Отпуск для особых категорий застрахованных лиц              
70985583,464909085,2000-06-08,РСВ1-2015,2015-02-06,2015-02-06,62040000131,1,Отпуск без сохранения зарплаты                              
70985583,464909085,2000-06-08,СЗВ-6-1,2010-04-09,2010-04-09,62040000131,1,Отпуск без сохранения содержания                            
70985583,464909085,2000-06-08,СЗВ-6-1,2010-06-11,2010-06-11,62040000131,1,-
70985583,464909085,2000-06-08,СЗВ-4-2,2008-01-01,2008-12-31,62040000131,360,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-10-01,2015-12-31,62040000131,90,-
70985583,464909085,2000-06-08,СЗВ-6-1,2011-05-06,2011-05-06,62040000131,1,-
70985583,464909085,2000-06-08,СЗВ-6-1,2011-05-06,2011-05-06,62040000131,1,Отпуск без сохранения содержания                            
70985583,464909085,2000-06-08,РСВ1-2015,2015-03-06,2015-03-06,62040000131,1,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-01-12,2015-01-14,62040000131,3,-
70985583,464909085,2000-06-08,СЗВ-6-1,2010-06-12,2010-06-17,62040000131,6,-
70985583,464909085,2000-06-08,СЗВ-6-1,2010-04-17,2010-04-29,62040000131,13,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-02-20,2015-02-20,62040000131,1,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-02-27,2015-02-27,62040000131,1,-
70985583,464909085,2000-06-08,СЗВ-6-1,2011-01-22,2011-01-22,62040000131,1,-
70985583,464909085,2000-06-08,РСВ1-2014,2014-09-27,2014-09-30,62040063411,4,-
70985583,464909085,2000-06-08,СЗВ-СТАЖ,2017-08-25,2017-08-31,62015002333,6,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-02-27,2015-02-27,62040000131,1,Отпуск без сохранения зарплаты                              
70985583,464909085,2000-06-08,РСВ1-2015,2015-02-20,2015-02-20,62040000131,1,Отпуск без сохранения зарплаты                              
70985583,464909085,2000-06-08,СЗВ-6-1,2011-01-22,2011-01-22,62040000131,1,Отпуск без сохранения содержания                            
70985583,464909085,2000-06-08,РСВ1-2014,2014-12-23,2014-12-31,62040000131,8,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-07-13,2015-07-13,62040000131,1,-
70985583,464909085,2000-06-08,РСВ1-2015,2016-05-27,2016-05-31,62015001466,4,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-07-01,2015-07-12,62040000131,12,-
70985583,464909085,2000-06-08,СЗВ-6-1,2011-03-04,2011-03-31,62040000131,27,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-08-17,2015-08-30,62040000131,14,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-02-13,2015-02-13,62040000131,1,-
70985583,464909085,2000-06-08,СЗВ-3,2001-06-05,2001-08-20,62056000053,76,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-02-13,2015-02-13,62040000131,1,Отпуск без сохранения зарплаты                              
70985583,464909085,2000-06-08,РСВ1-2015,2015-08-17,2015-08-30,62040000131,14,Отпуск для особых категорий застрахованных лиц              
70985583,464909085,2000-06-08,РСВ1-2015,2015-02-19,2015-02-19,62040000131,1,-
70985583,464909085,2000-06-08,СЗВ-4-1,2004-02-10,2004-12-31,62040001566,321,Педагогическая деятельность по закону №173-ФЗ               
70985583,464909085,2000-06-08,РСВ1-2015,2015-02-19,2015-02-19,62040000131,1,Отпуск для особых категорий застрахованных лиц              
70985583,464909085,2000-06-08,РСВ1-2015,2015-07-14,2015-08-16,62040000131,33,-
70985583,464909085,2000-06-08,СЗВ-6-1,2010-03-30,2010-03-30,62040000131,1,-
70985583,464909085,2000-06-08,СЗВ-6-1,2011-01-04,2011-01-06,62040000131,3,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-01-26,2015-02-05,62040000131,10,-
70985583,464909085,2000-06-08,РСВ1-2014,2014-05-24,2014-06-30,62040063411,37,-
70985583,464909085,2000-06-08,СЗВ-1,2000-06-05,2000-06-30,62056000053,26,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-01-17,2015-01-20,62040000131,4,-
70985583,464909085,2000-06-08,СЗВ-6-1,2011-01-23,2011-02-28,62040000131,36,-
70985583,464909085,2000-06-08,СЗВ-СТАЖ,2017-01-01,2017-07-13,62015002333,193,-
70985583,464909085,2000-06-08,РСВ1-2015,2016-05-06,2016-05-11,62015001466,6,Педагогическая деятельность по закону №319-ФЗ               
70985583,464909085,2000-06-08,РСВ1-2015,2016-03-20,2016-03-31,62015001466,11,Педагогическая деятельность по закону №319-ФЗ               
70985583,464909085,2000-06-08,РСВ1-2014,2014-08-04,2014-08-17,62040063411,14,-
70985583,464909085,2000-06-08,РСВ1-2014,2014-08-04,2014-08-17,62040063411,14,Отпуск для особых категорий застрахованных лиц              
70985583,464909085,2000-06-08,РСВ1-2015,2015-01-01,2015-01-11,62040000131,11,-
70985583,464909085,2000-06-08,СЗВ-6-4,2013-01-01,2013-03-31,62040063411,90,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-03-20,2015-03-20,62040000131,1,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-02-07,2015-02-12,62040000131,6,-
70985583,464909085,2000-06-08,СЗВ-6-4,2013-05-01,2013-06-30,62040063411,60,-
70985583,464909085,2000-06-08,СЗВ-К+,1992-07-20,1995-11-09,62040063411,1190,РАБОТА                                                      
70985583,464909085,2000-06-08,РСВ1-2015,2015-03-28,2015-03-31,62040000131,3,-
70985583,464909085,2000-06-08,РСВ1-2015,2016-07-01,2016-09-30,62015001466,90,-
70985583,464909085,2000-06-08,СЗВ-6-2,2012-01-01,2012-03-30,62040000131,90,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-01-17,2015-01-20,62040000131,4,Отпуск для особых категорий застрахованных лиц              
70985583,464909085,2000-06-08,РСВ1-2015,2016-07-01,2016-09-30,62015001466,90,Педагогическая деятельность по закону №319-ФЗ               
70985583,464909085,2000-06-08,РСВ1-2014,2014-08-18,2014-09-18,62040063411,31,-
70985583,464909085,2000-06-08,СЗВ-6-2,2012-07-01,2012-09-30,62040063411,90,-
70985583,464909085,2000-06-08,СЗВ-4-1,2004-02-10,2004-12-31,62040001566,321,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-01-12,2015-01-14,62040000131,3,Отпуск для особых категорий застрахованных лиц              
70985583,464909085,2000-06-08,СЗВ-6-1,2010-05-04,2010-05-11,62040000131,8,Период временной нетрудоспособности                         
70985583,464909085,2000-06-08,СЗВ-6-4,2013-04-22,2013-04-30,62040063411,9,Период временной нетрудоспособности                         
70985583,464909085,2000-06-08,РСВ1-2015,2015-03-14,2015-03-19,62040000131,6,-
70985583,464909085,2000-06-08,СЗВ-6-2,2012-10-01,2012-12-31,62040063411,90,-
70985583,464909085,2000-06-08,СЗВ-4-2,2006-01-01,2006-12-31,62040000131,360,-
70985583,464909085,2000-06-08,СЗВ-6-4,2013-04-01,2013-04-21,62040063411,21,-
70985583,464909085,2000-06-08,СЗВ-1,2000-07-01,2000-08-18,62056000053,48,-
70985583,464909085,2000-06-08,СЗВ-6-1,2010-06-25,2010-06-25,62040000131,1,-
70985583,464909085,2000-06-08,РСВ1-2015,2016-03-14,2016-03-19,62015001466,6,-
70985583,464909085,2000-06-08,СЗВ-6-1,2010-06-25,2010-06-25,62040000131,1,Отпуск без сохранения содержания                            
70985583,464909085,2000-06-08,РСВ1-2015,2016-03-14,2016-03-19,62015001466,6,Педагогическая деятельность по закону №319-ФЗ               
70985583,464909085,2000-06-08,РСВ1-2015,2015-01-23,2015-01-25,62040000131,3,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-01-23,2015-01-25,62040000131,3,Отпуск для особых категорий застрахованных лиц              
70985583,464909085,2000-06-08,РСВ1-2014,2014-01-01,2014-03-31,62040063411,90,-
70985583,464909085,2000-06-08,СЗВ-6-1,2010-03-30,2010-03-30,62040000131,1,Отпуск без сохранения содержания                            
70985583,464909085,2000-06-08,СЗВ-6-1,2011-03-01,2011-03-03,62040000131,3,-
70985583,464909085,2000-06-08,СЗВ-6-1,2011-03-01,2011-03-03,62040000131,3,Отпуск без сохранения содержания                            
70985583,464909085,2000-06-08,РСВ1-2015,2016-05-12,2016-05-26,62015001466,15,Педагогическая деятельность по закону №319-ФЗ               
70985583,464909085,2000-06-08,РСВ1-2015,2016-05-27,2016-05-31,62015001466,4,Педагогическая деятельность по закону №319-ФЗ               
70985583,464909085,2000-06-08,РСВ1-2015,2015-02-21,2015-02-26,62040000131,6,-
70985583,464909085,2000-06-08,РСВ1-2015,2016-04-01,2016-04-20,62015001466,20,-
70985583,464909085,2000-06-08,СЗВ-6-2,2012-04-02,2012-06-30,62040063411,89,-
70985583,464909085,2000-06-08,РСВ1-2015,2016-04-01,2016-04-20,62015001466,20,Педагогическая деятельность по закону №319-ФЗ               
70985583,464909085,2000-06-08,РСВ1-2014,2014-07-01,2014-08-03,62040063411,33,-
70985583,464909085,2000-06-08,РСВ1-2014,2014-04-01,2014-05-11,62040063411,41,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-02-28,2015-03-05,62040000131,8,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-03-27,2015-03-27,62040000131,1,Отпуск без сохранения зарплаты                              
70985583,464909085,2000-06-08,РСВ1-2015,2015-03-06,2015-03-06,62040000131,1,Отпуск без сохранения зарплаты                              
70985583,464909085,2000-06-08,СЗВ-6-1,2010-03-31,2010-04-08,62040000131,9,-
70985583,464909085,2000-06-08,СЗВ-6-1,2010-04-10,2010-04-15,62040000131,6,-
70985583,464909085,2000-06-08,СЗВ-4-2,2007-01-01,2007-12-31,62040000131,360,-
70985583,464909085,2000-06-08,СЗВ-СТАЖ,2017-01-01,2017-08-31,62015001466,240,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-07-13,2015-07-13,62040000131,1,Отпуск для особых категорий застрахованных лиц              
70985583,464909085,2000-06-08,СЗВ-6-2,2011-07-01,2011-09-30,62040000131,90,-
70985583,464909085,2000-06-08,СЗВ-6-1,2010-06-18,2010-06-18,62040000131,1,-
70985583,464909085,2000-06-08,РСВ1-2015,2016-10-03,2016-12-31,62015002333,88,-
70985583,464909085,2000-06-08,СЗВ-6-1,2010-04-30,2010-04-30,62040000131,1,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-03-20,2015-03-20,62040000131,1,Отпуск без сохранения зарплаты                              
70985583,464909085,2000-06-08,СЗВ-6-1,2011-01-04,2011-01-06,62040000131,3,Отпуск без сохранения содержания                            
70985583,464909085,2000-06-08,СЗВ-4-1,2005-01-01,2005-09-07,62040001566,247,-
70985583,464909085,2000-06-08,РСВ1-2014,2014-10-01,2014-12-22,62040063411,82,-
70985583,464909085,2000-06-08,РСВ1-2015,2016-01-01,2016-01-13,62040000131,13,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-08-31,2015-09-30,62040000131,31,-
70985583,464909085,2000-06-08,СЗВ-6-4,2013-07-01,2013-09-30,62040063411,90,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-01-21,2015-01-22,62040000131,2,-
70985583,464909085,2000-06-08,СЗВ-6-1,2010-06-18,2010-06-18,62040000131,1,Отпуск без сохранения содержания                            
70985583,464909085,2000-06-08,СЗВ-6-1,2011-01-01,2011-01-03,62040000131,3,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-06-23,2015-06-30,62040000131,8,-
70985583,464909085,2000-06-08,СЗВ-6-1,2011-05-07,2011-06-30,62040000131,54,-
70985583,464909085,2000-06-08,СЗВ-6-1,2010-01-01,2010-03-29,62040000131,89,-
70985583,464909085,2000-06-08,РСВ1-2014,2014-09-20,2014-09-25,62040063411,6,-
70985583,464909085,2000-06-08,СЗВ-6-4,2013-10-01,2013-12-31,62040063411,90,-
70985583,464909085,2000-06-08,СЗВ-6-1,2010-06-19,2010-06-24,62040000131,6,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-01-15,2015-01-16,62040000131,2,-
70985583,464909085,2000-06-08,РСВ1-2014,2014-09-26,2014-09-26,62040063411,1,Отпуск без сохранения зарплаты                              
70985583,464909085,2000-06-08,СЗВ-4-2,2009-01-01,2009-12-31,62040000131,360,-
70985583,464909085,2000-06-08,РСВ1-2015,2015-03-07,2015-03-12,62040000131,6,-
70985583,464909085,2000-06-08,СЗВ-4-1,2005-01-01,2005-09-07,62040001566,247,Педагогическая деятельность по закону №173-ФЗ               
70985583,464909085,2000-06-08,СЗВ-6-1,2010-04-16,2010-04-16,62040000131,1,Отпуск без сохранения содержания                            
70985583,464909085,2000-06-08,СЗВ-6-1,2010-04-30,2010-04-30,62040000131,1,Отпуск без сохранения содержания                            
70985583,464909085,2000-06-08,СЗВ-6-1,2010-06-11,2010-06-11,62040000131,1,Отпуск без сохранения содержания                            

